English_Sector,Arabic_Sector,Date,Number of Transactions,Value of Transactions
Beverage and Food,الأطعمة والمشروبات,2021-01-02,21616,1575745.0
Telecommunication,الاتصالات,2021-01-02,367,97019.0
Transportation,المواصلات,2021-01-02,1290,561324.0
Other,أخرى,2021-01-02,10280,1441412.0
Total,الإجمالي,2021-01-02,90695,10738139.0
Clothing and Footwear,الملابس والأحذية,2021-06-19,3271,566504.0
Construction & Building Materials,مواد التشييد والبناء,2021-06-19,818,364826.0
Education,التعليم,2021-06-19,49,51298.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-06-19,621,258699.0
Gas,محطات الوقود,2021-06-19,8783,507822.0
Health,الصحة,2021-06-19,5414,681488.0
Furniture,الأثاث,2021-06-19,748,296434.0
Hotels,الفنادق,2021-06-19,523,187690.0
Public Utilities,المنافع العامة,2021-06-19,798,78234.0
Jewelry,المجوهرات,2021-06-19,190,232403.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-06-19,8137,760689.0
Recreation and Culture,الترفية والثقافة,2021-06-19,1353,219084.0
Restaurants & Café,المطاعم والمقاهي,2021-06-19,27472,1167264.0
Beverage and Food,الأطعمة والمشروبات,2021-06-19,24429,1229960.0
Telecommunication,الاتصالات,2021-06-19,312,85030.0
Transportation,المواصلات,2021-06-19,1251,505098.0
Other,أخرى,2021-06-19,10615,1097086.0
Total,الإجمالي,2021-06-19,94783,8289609.0
Clothing and Footwear,الملابس والأحذية,2021-05-29,3282,583585.0
Construction & Building Materials,مواد التشييد والبناء,2021-05-29,823,388893.0
Education,التعليم,2021-05-29,51,69681.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2021-05-29,679,297114.0
Gas,محطات الوقود,2021-05-29,9116,544636.0
Health,الصحة,2021-05-29,5764,731721.0
Furniture,الأثاث,2021-05-29,769,307586.0
Hotels,الفنادق,2021-05-29,555,191815.0
Public Utilities,المنافع العامة,2021-05-29,809,84605.0
Jewelry,المجوهرات,2021-05-29,204,226529.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2021-05-29,8031,823460.0
Recreation and Culture,الترفية والثقافة,2021-05-29,1455,257690.0
Restaurants & Café,المطاعم والمقاهي,2021-05-29,27928,1271083.0
Beverage and Food,الأطعمة والمشروبات,2021-05-29,24566,1487845.0
Telecommunication,الاتصالات,2021-05-29,352,103927.0
Transportation,المواصلات,2021-05-29,1405,571761.0
Other,أخرى,2021-05-29,10747,1226334.0
Total,الإجمالي,2021-05-29,96535,9168264.0
Construction & Building Materials,مواد التشييد والبناء,2020-09-26,644,352362.0
Education,التعليم,2020-09-26,32,52249.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2020-09-26,625,319818.0
Gas,محطات الوقود,2020-09-26,5890,285757.0
Health,الصحة,2020-09-26,4577,683774.0
Furniture,الأثاث,2020-09-26,735,401888.0
Hotels,الفنادق,2020-09-26,399,160396.0
Public Utilities,المنافع العامة,2020-09-26,606,71583.0
Jewelry,المجوهرات,2020-09-26,183,206555.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2020-09-26,2548,589291.0
Recreation and Culture,الترفية والثقافة,2020-09-26,1389,237763.0
Restaurants & Café,المطاعم والمقاهي,2020-09-26,19528,1028385.0
Beverage and Food,الأطعمة والمشروبات,2020-09-26,17314,1150368.0
Telecommunication,الاتصالات,2020-09-26,228,50099.0
Transportation,المواصلات,2020-09-26,903,386177.0
Other,أخرى,2020-09-26,7821,1062386.0
Total,الإجمالي,2020-09-26,67003,7677157.0
Clothing and Footwear,الملابس والأحذية,2020-12-26,3653,678210.0
Construction & Building Materials,مواد التشييد والبناء,2020-12-26,744,399978.0
Education,التعليم,2020-12-26,39,66386.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2020-12-26,603,273716.0
Gas,محطات الوقود,2020-12-26,6198,292249.0
Health,الصحة,2020-12-26,4537,581797.0
Furniture,الأثاث,2020-12-26,773,353723.0
Hotels,الفنادق,2020-12-26,363,129766.0
Public Utilities,المنافع العامة,2020-12-26,526,61041.0
Jewelry,المجوهرات,2020-12-26,172,220907.0
Miscellaneous Goods and Services,سلع وخدمات متنوعة,2020-12-26,4190,632078.0
Recreation and Culture,الترفية والثقافة,2020-12-26,1284,255320.0
Restaurants & Café,المطاعم والمقاهي,2020-12-26,21238,993855.0
Beverage and Food,الأطعمة والمشروبات,2020-12-26,18795,1145273.0
Telecommunication,الاتصالات,2020-12-26,258,64980.0
Transportation,المواصلات,2020-12-26,931,416525.0
Other,أخرى,2020-12-26,7922,1036238.0
Total,الإجمالي,2020-12-26,72225,7602041.0
Clothing and Footwear,الملابس والأحذية,2022-02-12,3686,566486.0
Construction & Building Materials,مواد التشييد والبناء,2022-02-12,1040,381673.0
Education,التعليم,2022-02-12,119,113875.0
Electronic & Electric Devices,الأجهزة الإلكترونية والكهربائية,2022-02-12,712,240537.0
Gas,محطات الوقود,2022-02-12,11111,639780.0
